name,abr
California,CA
Virginia,VA
Florida,FL
Oregon,OR
Pennsylvania,PA
Arizona,AZ
Rhode Island,RI
Maine,ME
North Carolina,NC
Nevada,NV
New York,NY
Texas,TX
Kentucky,KY
Washington,WA
Puerto Rico,PR
Utah,UT
Missouri,MO
Oklahoma,OK
New Mexico,NM
Georgia,GA
Louisiana,LA
Hawaii,HI
Nebraska,NE
Connecticut,CT
Alabama,AL
Tennessee,TN
Idaho,ID
Massachusetts,MA
Maryland,MD
South Carolina,SC
Ohio,OH
Colorado,CO
Iowa,IA
Michigan,MI
Kansas,KS
Indiana,IN
Arkansas,AR
Illinois,IL
New Hampshire,NH
Wisconsin,WI
Minnesota,MN
New Jersey,NJ
North Dakota,ND
Mississippi,MS
South Dakota,SD
Montana,MT
Vermont,VT
U.S. Pacific Trust Territories and Possessions,TT
West Virginia,WV
Wyoming,WY
U.S. Virgin Islands,VI
Alaska,AK
