popularity,original_title,runtime,genres,vote_count,vote_average,release_year,budget_adj,revenue_adj,movie_length,rating
32.985763,Jurassic World,124,Action,5562,6.5,2015,137999939.280026,1392445892.5238,v_long,m_high
28.419936,Mad Max: Fury Road,120,Action,6185,7.1,2015,137999939.280026,348161292.489031,v_long,high
13.112507,Insurgent,119,Adventure,2480,6.3,2015,101199955.472019,271619025.407628,v_long,m_high
11.173104,Star Wars: The Force Awakens,136,Action,5292,7.5,2015,183999919.040035,1902723129.80182,v_long,high
9.335014,Furious 7,137,Action,2947,7.3,2015,174799923.08803302,1385748801.47052,v_long,high
9.1107,The Revenant,156,Western,3929,7.2,2015,124199945.352024,490314247.02173096,v_long,high
8.654359,Terminator Genisys,125,Science Fiction,2598,5.8,2015,142599937.256027,405355075.683766,v_long,medium
7.6674,The Martian,141,Drama,4572,7.6,2015,99359956.2816192,547749654.3101518,v_long,high
7.40416499999999,Minions,91,Family,2893,6.5,2015,68079970.0448131,1064192016.7955099,short,m_high
6.326804,Inside Out,94,Comedy,3935,8.0,2015,160999929.16003102,785411574.698907,medium,high
6.200282,Spectre,148,Action,3254,6.2,2015,225399900.824043,810220283.783075,v_long,m_high
6.189369,Jupiter Ascending,124,Science Fiction,1937,5.2,2015,161919931.51523,169268630.681802,v_long,low
6.118847,Ex Machina,108,Drama,2854,7.6,2015,13799993.9280026,33919845.9552677,long,high
5.984995,Pixels,105,Action,1575,5.8,2015,80959964.37761559,224146025.095748,long,medium
5.944927,Avengers: Age of Ultron,141,Action,4304,7.4,2015,257599886.656049,1292632336.88177,v_long,high
5.8984,The Hateful Eight,167,Crime,2389,7.4,2015,40479982.18880779,143299244.588332,v_long,high
5.749758,Taken 3,109,Crime,1578,6.1,2015,44159980.5696085,299709578.207785,long,m_high
5.573184,Ant-Man,115,Science Fiction,3779,7.0,2015,119599947.376023,477113780.029936,v_long,high
5.556818,Cinderella,112,Romance,1495,6.8,2015,87399961.54401691,498963025.216268,long,high
5.476958,The Hunger Games: Mockingjay - Part 2,136,War,2380,6.5,2015,147199935.232028,598481289.508232,v_long,m_high
5.462138,Tomorrowland,130,Action,1899,6.2,2015,174799923.08803302,192312729.942398,v_long,m_high
5.337064,Southpaw,123,Action,1386,7.3,2015,27599987.856005296,84373003.7158783,v_long,high
4.907832,San Andreas,114,Action,2060,6.1,2015,101199955.472019,432851374.985395,v_long,m_high
4.71040199999999,Fifty Shades of Grey,125,Drama,1865,5.3,2015,36799983.80800711,524079119.045187,v_long,low
4.648046,The Big Short,130,Comedy,1545,7.3,2015,25759988.665604897,122678731.541358,v_long,high
4.566713,Mission: Impossible - Rogue Nation,131,Action,2349,7.1,2015,137999939.280026,627743451.672881,v_long,high
4.564549,Ted 2,115,Comedy,1666,6.3,2015,62559972.4736121,198594430.13845,v_long,m_high
4.503789,Kingsman: The Secret Service,130,Crime,3833,7.6,2015,74519967.21121441,371497801.660967,v_long,high
4.062293,Spotlight,128,Drama,1559,7.8,2015,18399991.9040035,81278719.39736341,v_long,high
